[27, 109, 19, 119, 39]
[107, 69, 111, 95, 23]
[86, 95, 51, 40, 13]
[96, 121, 45, 31, 93]
[50, 85, 29, 11, 92]
[54, 31, 3, 114, 76]
[50, 107, 15, 10, 79]
[85, 106, 27, 23, 81]
[103, 18, 79, 10, 62]
[18, 90, 95, 99, 65]
[107, 3, 29, 15, 11]
[31, 8, 18, 23, 65]
[81, 31, 110, 76, 70]
[81, 66, 100, 10, 29]
[121, 27, 8, 29, 114]
[81, 31, 8, 88, 23]
[103, 8, 29, 3, 82]
[78, 65, 8, 26, 47]
[107, 109, 38, 13, 5]
[31, 121, 18, 93, 23]
[78, 65, 15, 86, 95]
[81, 66, 27, 70, 6]
[33, 110, 41, 65, 34]
[30, 8, 19, 64, 9]
[50, 30, 23, 98, 81]
[81, 79, 64, 44, 76]
[90, 54, 18, 3, 15]
[107, 8, 45, 96, 86]
[30, 68, 29, 42, 45]
[85, 36, 26, 95, 45]
[19, 86, 110, 6, 109]
[103, 54, 86, 23, 65]
[94, 88, 64, 55, 106]
[121, 8, 27, 60, 46]
[107, 55, 112, 98, 10]
[100, 95, 79, 23, 31]
[54, 121, 64, 76, 23]
[53, 54, 86, 38, 13]
[15, 100, 79, 13, 114]
[100, 54, 86, 55, 13]
[31, 18, 41, 65, 43]
[121, 18, 48, 98, 53]
[54, 31, 86, 53, 52]
[81, 66, 90, 95, 97]
[50, 18, 48, 86, 60]
[50, 86, 60, 23, 77]
[97, 8, 55, 26, 98]
[54, 18, 90, 19, 74]
[54, 50, 88, 39, 101]
[27, 38, 18, 95, 39]
[18, 48, 121, 73, 13]
[66, 80, 19, 106, 63]
[90, 94, 100, 96, 62]
[58, 81, 54, 65, 49]
[31, 81, 86, 60, 50]
[18, 90, 109, 79, 114]
[90, 95, 55, 39, 16]
[5, 50, 29, 8, 21]
[79, 64, 15, 70, 1]
[19, 8, 15, 21, 28]
[19, 8, 31, 76, 55]
[79, 19, 78, 95, 96]
[30, 84, 96, 93, 76]
[54, 79, 107, 60, 98]
[107, 121, 8, 33, 13]
[26, 64, 97, 54, 101]
[103, 79, 109, 120, 38]
[18, 27, 55, 109, 70]
[100, 111, 55, 109, 13]
[27, 8, 38, 112, 45]
[85, 54, 120, 47, 27]
[19, 109, 84, 2, 39]
[78, 54, 30, 14, 35]
[103, 121, 44, 38, 50]
[90, 60, 103, 98, 15]
[54, 31, 19, 28, 47]
[81, 79, 50, 30, 12]
[103, 64, 1, 97, 65]
[38, 85, 103, 76, 41]
[121, 69, 120, 112, 44]
[2, 119, 26, 95, 34]
[79, 99, 31, 1, 53]
[31, 54, 65, 99, 60]
[50, 100, 54, 29, 35]
[19, 33, 64, 44, 114]
[79, 8, 64, 23, 97]
[100, 95, 64, 29, 13]
[119, 27, 85, 15, 7]
[55, 111, 112, 109, 114]
[27, 120, 21, 111, 1]
[18, 86, 110, 15, 76]
[38, 66, 100, 80, 70]
[31, 70, 86, 45, 54]
[31, 103, 38, 92, 8]
[103, 29, 112, 48, 106]
[86, 55, 19, 48, 79]
[95, 18, 86, 28, 34]
[19, 50, 95, 79, 86]
[19, 111, 8, 65, 15]
[103, 27, 109, 104, 50]
[18, 86, 41, 45, 61]
[38, 18, 48, 121, 77]
[81, 31, 79, 70, 15]
[53, 85, 38, 12, 40]
[19, 55, 64, 44, 80]
