3-30 46 2-52 15 72
4-57 2-51 76 111
5-77 34 2-101 107
6-49 107 20-65 84
7-60 41 62-64 76
8-7 107 45-3 72
9-12 89 22-19 37 85 106
10-30 63 20 17-107
11-38 74 106 21-30
12-19 69 29 35-30
13-38 23 106-31 80
14-30 68 11 120-10
15-38 52 94-37 12 83
16-38 120-3 15 48
17-103 4 79-38 93
18-53 46 71-70 112
19-78 37 81-64 71
20-30 109 45 85-21
21-2 71 14-54 97
22-109 2 37-14 36 47 71 74
23-110 47-7 9 20 41 66
24-36 5 83 73-8
25-49 33 42-23 50
26-107 52 58-19 68
27-30 78 41 14-106
28-9 78 84-68 6 10 17 36
29-114 66 83-52 61 67 112
30-87 20 85 76-57
31-86 107 76 96-70
32-72 27 36-70 86
33-64 39 89-9 10 78 81 114
34-64 62 33-9 44
35-87 100 58-19 22
36-78 68 18-12 86
37-16 65 44-13 37
38-10 2 22 26-88
39-30 49 41 2-85
40-9 119 26 42-46 59
41-19 119 10 22-5
42-72 88 36 5-17
43-63 58-7 40 16 19 87
44-112 10 2 66-25
45-16 19 76 8-37
46-60 25 53 32-65
47-9 41 31 14-65
48-19 87 34 62-43
49-19 109 34-3 23 37 51 66
50-51 7 11 20-27
51-30 13 41 58-51
52-19 9 34-3 103
53-49 12 111-78 100
54-77 28 26-25 38
55-87 76 89 70-108
56-63 64 25-6 20 71 83 88
57-21 99-48 5 10 14 22
58-52 91 106-3 72
59-16 93-69 37 57 43 52
60-107 60 8-9 86
61-16 12 68 41-57
62-68 39 10-16 57 62 107
63-43 40 18-68 107
64-112 107 109-2 13 20 34 36
65-19 52 91-3 72
66-65 73-31 7 9 58 3
67-109 25 106-75 96
68-110 74 6-27 71 75 107
69-3 57 26-76 93
70-49 103 34-26 78
71-87 72 100 41-34 38 55
72-9 112 84 36-2
73-85 73-9 70 3 6 12
74-87 31 73-2 44
75-63 45 23-3 70
76-72 20 52 46-28
77-64 11 102-48 100
78-3 69 25 23-41
79-76 37 101-25 38
80-36 34 10-3 70
81-19 53 82-75 110
82-11 29 119-6 21
83-84 69 40 94-71
84-30 46 6-53 103
85-3 69 46-91 106
86-48 21 28-52 79
87-86 110 106 92-114
88-15 17-57 87 86 3 16
89-77 46 79-28 39
90-107 63 96 61-5
91-72 84 57 44-26
92-78 39 1-26 112
93-107 27 63 114-36
94-36 62 22-5 82
95-3 19 15 33-16
96-64 103 25-15 55
97-88 17 5 67-58
98-84 69 40 71-94
99-12 20 85 33-22
100-23 33 42 50-49
101-9 75 104-70 85
102-12 85 92 26-13
103-103 38 79-4 93
104-3 60 20-16 34
105-87 43 103 29-109
106-51 109 68 33-49
107-87 82 32-55 67
108-30 39 54-38 100 29 103 108
109-30 54 110 83-17
110-84 41 110-9 11 19 65 17
111-88 109 52 98-28 29
112-57 93-16 76 26 30 37
113-23 75 79-70 107
114-43 37 33-54 107
115-45 85 114-6 47
116-87 9 51 29-49
117-25 53 17 75-27
118-30 78 46 4-112
119-112 60 81-13 16 45 94
120-84 54 83-25 63
121-64 103 34 37-77
122-16 54 76 102-30
123-49 51 64 55-113
124-19 72 36 83-91
125-84 91 4 93-22
126-40 106 4 31-28
127-12 75 58-7 14 74 83
128-87 25 104-89 95
129-16 100 43-87 37 42 54 90
130-112 38 46-7 54
131-107 41 66-15 38 63 97
132-15 48 40-16 52
133-114 52 5-32 40 74 82
134-57 47 44-5 16 20 51
135-3 72 91 92-33
136-19 62 97-30 43
137-30 38 61 18-107
138-51 91 104-19 62
139-86 75 2 22-12
140-9 89-30 64 12 41 3
141-7 53 1-30 40 47 62 111
142-86 84 98-57 72
143-87 49 38 81-16
144-19 17 42-21 66
145-87 66-16 12 19 43 45
146-86 13 47-100 4 15 19 66
147-30 9 51 12-25
148-64 85 75 6-71
149-107 54 47-30 60 86 108
150-20 47 58 81-16
151-69 23 91-54 63 64 87
152-49 37 102 28-72
153-19 28 35-103 112
154-10 105-7 84 97
155-107 60 84 47-95
156-108 61 26-16 25
157-3 22 42-9 20 23 41
158-75 35-18 28 29 38 42
159-65 17 83-32 96
160-86 7 65 8-46
161-49 10 28 92-68
162-86 45 6-53 88
163-12 53-3 16 72 5 7
164-69 77-13 87 3 27 30
165-60 4 99-52 85
166-78 15 17-7 86
167-9 84 98-19 20 26 48
168-3 100 29 76-109
169-3 100 13 46-95
170-20 28 93-22 78
171-19 100 17 8-119
172-13 94 101-12 51
